BEST ACCURACY SCORE:
0.862222222222
BEST PARAMETERS:
{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
ACCURACY SCORE ON HOLDOUT TEST SET:
0.96


mean: 0.63556, std: 0.01519, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.62000, std: 0.01065, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.83333, std: 0.02362, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.84889, std: 0.00940, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.86222, std: 0.01023, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.84889, std: 0.01394, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.84444, std: 0.01609, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.85556, std: 0.00196, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.85111, std: 0.00652, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.85556, std: 0.01387, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.58222, std: 0.06537, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.60444, std: 0.05188, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.85556, std: 0.01553, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.84889, std: 0.00462, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.85111, std: 0.02095, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.85556, std: 0.01175, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.85778, std: 0.01104, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.85556, std: 0.00984, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.85778, std: 0.01104, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.84444, std: 0.00355, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.65333, std: 0.00649, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
