BEST ACCURACY SCORE:
0.855555555556
BEST PARAMETERS:
{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}

ACCURACY SCORE ON HOLDOUT TEST SET:
0.84


mean: 0.85111, std: 0.05522, params: {'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}
mean: 0.81778, std: 0.03690, params: {'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_depth': 20, 'bootstrap': False}
mean: 0.81111, std: 0.04326, params: {'n_estimators': 1600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_depth': 70, 'bootstrap': False}
mean: 0.79556, std: 0.02339, params: {'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 70, 'bootstrap': False}
mean: 0.84667, std: 0.04903, params: {'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}
mean: 0.84222, std: 0.04814, params: {'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': True}
mean: 0.81333, std: 0.04451, params: {'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_depth': 50, 'bootstrap': False}
mean: 0.82444, std: 0.04326, params: {'n_estimators': 1400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': True}
mean: 0.84000, std: 0.05920, params: {'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_depth': 40, 'bootstrap': True}
mean: 0.85556, std: 0.05297, params: {'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}
mean: 0.85333, std: 0.05030, params: {'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}
mean: 0.83111, std: 0.04468, params: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': True}
mean: 0.81111, std: 0.03850, params: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.25, 'max_depth': 100, 'bootstrap': False}
mean: 0.83333, std: 0.04323, params: {'n_estimators': 1400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': True}
mean: 0.84222, std: 0.04866, params: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}
mean: 0.85111, std: 0.05662, params: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_depth': None, 'bootstrap': True}
mean: 0.77556, std: 0.03414, params: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 110, 'bootstrap': False}
mean: 0.84222, std: 0.05317, params: {'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20, 'bootstrap': True}
mean: 0.83556, std: 0.05382, params: {'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.75, 'max_depth': 50, 'bootstrap': True}
mean: 0.78444, std: 0.02266, params: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 100, 'bootstrap': False}
mean: 0.80222, std: 0.03209, params: {'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_depth': 100, 'bootstrap': False}
mean: 0.78889, std: 0.03438, params: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 30, 'bootstrap': False}
mean: 0.83778, std: 0.04787, params: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}
mean: 0.82444, std: 0.05824, params: {'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.75, 'max_depth': 60, 'bootstrap': True}
mean: 0.83333, std: 0.04775, params: {'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}
mean: 0.83111, std: 0.05302, params: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': True}
mean: 0.80667, std: 0.02938, params: {'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_depth': 110, 'bootstrap': False}
mean: 0.85111, std: 0.06131, params: {'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': True}
mean: 0.84222, std: 0.05596, params: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 40, 'bootstrap': True}
mean: 0.80667, std: 0.03430, params: {'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.25, 'max_depth': 90, 'bootstrap': False}
