BEST ACCURACY SCORE:
0.862222222222
BEST PARAMETERS:
{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
ACCURACY SCORE ON HOLDOUT TEST SET:
0.88


mean: 0.75778, std: 0.02062, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.68889, std: 0.08567, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.82667, std: 0.02832, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.84667, std: 0.03226, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.81778, std: 0.03616, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.84000, std: 0.03193, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.81778, std: 0.02674, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.83111, std: 0.03515, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.83111, std: 0.00902, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.82000, std: 0.03821, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.72444, std: 0.05485, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.70889, std: 0.06747, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.82000, std: 0.02447, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.84222, std: 0.00666, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.81111, std: 0.01454, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.84444, std: 0.00493, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.80444, std: 0.01543, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.84222, std: 0.02152, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.81111, std: 0.00629, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.83333, std: 0.01298, params: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.75111, std: 0.02058, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.78222, std: 0.02284, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.80889, std: 0.02271, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.84889, std: 0.02405, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.81778, std: 0.00910, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.82889, std: 0.01729, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.82889, std: 0.02544, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.84889, std: 0.00489, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.82000, std: 0.02266, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.86222, std: 0.01620, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.73778, std: 0.02711, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.50889, std: 0.32440, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.84000, std: 0.00915, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.85556, std: 0.01906, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.84444, std: 0.01502, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.84889, std: 0.02357, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.84667, std: 0.01277, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.85778, std: 0.01581, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.83333, std: 0.01277, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.84667, std: 0.01021, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.78000, std: 0.02202, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.72000, std: 0.06824, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.83333, std: 0.02105, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.82444, std: 0.02753, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.83556, std: 0.02376, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.82444, std: 0.02234, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.82889, std: 0.02147, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.81556, std: 0.02143, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.83333, std: 0.02652, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.81556, std: 0.02045, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.77333, std: 0.00745, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.65333, std: 0.02391, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.79333, std: 0.01000, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.74889, std: 0.01982, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.79111, std: 0.01301, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.75333, std: 0.01909, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.79111, std: 0.01301, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
